<DATE>,<OPEN>
31.12.2020,141.89
30.12.2020,148.85
29.12.2020,143.04
28.12.2020,143.2
24.12.2020,146.75
23.12.2020,142.8
22.12.2020,142.6
21.12.2020,141.75
18.12.2020,147.8
17.12.2020,142.25
16.12.2020,141.2
15.12.2020,141.925
14.12.2020,141.8
11.12.2020,139.19
10.12.2020,138.8001
09.12.2020,138.7
08.12.2020,140.15
07.12.2020,138.05
04.12.2020,138.55
03.12.2020,137.64
02.12.2020,139.55
01.12.2020,141.05
30.11.2020,140.55
27.11.2020,140.5
25.11.2020,141.6
24.11.2020,140.6
23.11.2020,142.7
20.11.2020,144
19.11.2020,143
18.11.2020,137.25
17.11.2020,142
16.11.2020,137.34
13.11.2020,137.29
12.11.2020,137.2
11.11.2020,139.5
10.11.2020,141.9
09.11.2020,140.3
06.11.2020,133.7
05.11.2020,134.65
04.11.2020,131.65
03.11.2020,130.5
02.11.2020,124.85
30.10.2020,122.05
29.10.2020,121.15
28.10.2020,120.15
27.10.2020,126.4
26.10.2020,125.55
23.10.2020,130.8
22.10.2020,128.7
21.10.2020,126.75
20.10.2020,128
19.10.2020,125.8
16.10.2020,127.44
15.10.2020,129
14.10.2020,131.4
13.10.2020,132.05
12.10.2020,131.25
09.10.2020,127.75
08.10.2020,126.25
07.10.2020,127.99
06.10.2020,122.95
05.10.2020,127
02.10.2020,124.44
01.10.2020,123.94
30.09.2020,126.1
29.09.2020,127.5
28.09.2020,124.4949
25.09.2020,119.25
24.09.2020,121.2
23.09.2020,120.5
22.09.2020,120.1561
21.09.2020,118.85
18.09.2020,126.05
17.09.2020,126.4
16.09.2020,126.4
15.09.2020,128.4
14.09.2020,127.8007
11.09.2020,124.25
10.09.2020,125.75
09.09.2020,127
08.09.2020,122.59
04.09.2020,120.6
03.09.2020,123.3
02.09.2020,125.6
31.08.2020,123.7
28.08.2020,125.25
27.08.2020,125.2
26.08.2020,126.45
25.08.2020,125.4
24.08.2020,122.59
21.08.2020,121.15
20.08.2020,121.8
19.08.2020,123.7
18.08.2020,123.05
14.08.2020,121.45
13.08.2020,123.75
12.08.2020,124.45
11.08.2020,123.25
10.08.2020,120.85
07.08.2020,122.2
06.08.2020,121.1
05.08.2020,120.39
04.08.2020,117.39
03.08.2020,120.3
31.07.2020,114.9
30.07.2020,118
29.07.2020,119.45
28.07.2020,116.05
27.07.2020,117.8
24.07.2020,114.69
23.07.2020,116.15
21.07.2020,115.8
17.07.2020,115.75
16.07.2020,115.55
15.07.2020,114.6
14.07.2020,109.49
13.07.2020,110
10.07.2020,108.65
09.07.2020,108.45
08.07.2020,111.55
07.07.2020,110.9
06.07.2020,110.6
30.06.2020,109.7
29.06.2020,111.75
26.06.2020,108.45
25.06.2020,108.14
24.06.2020,107.94
23.06.2020,109.85
22.06.2020,108
19.06.2020,107.55
17.06.2020,107.54
16.06.2020,106.6
15.06.2020,104.7
12.06.2020,101.9
11.06.2020,100.5
10.06.2020,107.5501
09.06.2020,108.4811
08.06.2020,108.1
05.06.2020,110.8
04.06.2020,106.35
03.06.2020,107.25
02.06.2020,101.24
29.05.2020,99.7000
28.05.2020,97.9500
27.05.2020,95.9207
26.05.2020,94.0000
22.05.2020,91.3000
20.05.2020,91.2900
19.05.2020,90.4250
18.05.2020,93.1500
15.05.2020,84.2086
14.05.2020,83.7000
13.05.2020,88.1000
12.05.2020,86.7500
11.05.2020,87.3751
07.05.2020,85.9750
06.05.2020,85.5500
05.05.2020,96.7500
04.05.2020,88.1500
01.05.2020,87.6500
30.04.2020,90.4500
29.04.2020,93.7000
27.04.2020,91.9500
23.04.2020,91.7750
22.04.2020,90.2168
21.04.2020,86.5500
20.04.2020,92.6500
17.04.2020,89.1000
16.04.2020,86.5626
15.04.2020,89.0682
14.04.2020,89.6000
13.04.2020,91.9000
08.04.2020,91.2500
02.04.2020,81.6750
01.04.2020,78.3500
31.03.2020,84.0000
30.03.2020,87.8326
27.03.2020,85.4500
26.03.2020,94.5499
25.03.2020,83.7400
24.03.2020,82.3304
23.03.2020,74.0300
20.03.2020,72.1100
19.03.2020,74.5000
18.03.2020,74.3387
17.03.2020,81.0187
16.03.2020,74.1400
13.03.2020,79.8772
12.03.2020,77.8500
11.03.2020,92.8500
10.03.2020,94.2500
09.03.2020,92.1000
06.03.2020,102.05
05.03.2020,106.39
04.03.2020,106.9
03.03.2020,105
02.03.2020,102.85
28.02.2020,99.4000
27.02.2020,102.5
26.02.2020,105.2
25.02.2020,105
24.02.2020,106.35
21.02.2020,109.5
18.02.2020,105.2
14.02.2020,105.6
13.02.2020,105.9099
12.02.2020,105.7
11.02.2020,104.3
10.02.2020,104.3
07.02.2020,104.675
06.02.2020,105.95
05.02.2020,104.8
04.02.2020,104.35
03.02.2020,102.05
31.01.2020,101.5
30.01.2020,101.35
29.01.2020,102.0337
28.01.2020,101.95
27.01.2020,101.1
23.01.2020,102.6
22.01.2020,103.35
21.01.2020,104.349
17.01.2020,104.2
16.01.2020,104
14.01.2020,102.6
13.01.2020,102.51
09.01.2020,102.5
08.01.2020,103.75
03.01.2020,102.95
02.01.2020,104.6
30.12.2019,102.8
26.12.2019,102.7
24.12.2019,102.7
23.12.2019,102.425
19.12.2019,101.35
18.12.2019,102.8
17.12.2019,103.41
16.12.2019,104.91
13.12.2019,102.45
12.12.2019,102.2
11.12.2019,101.5
06.12.2019,99.7500
05.12.2019,98.6750
04.12.2019,97.4400
03.12.2019,95.4600
02.12.2019,95.4400
29.11.2019,97.0500
25.11.2019,96.5500
22.11.2019,94.7900
21.11.2019,94.6607
19.11.2019,97.0500
18.11.2019,97.7100
14.11.2019,96.0500
13.11.2019,95.7000
12.11.2019,96.9100
08.11.2019,95.9000
07.11.2019,96.2500
05.11.2019,95.6875
04.11.2019,95.4750
01.11.2019,94.1500
30.10.2019,93.3500
29.10.2019,94.6750
28.10.2019,94.8500
23.10.2019,93.6000
22.10.2019,93.8000
21.10.2019,92.7500
18.10.2019,90.8932
17.10.2019,91.6100
16.10.2019,90.3000
09.10.2019,83.8653
08.10.2019,82.2900
07.10.2019,85.3500
04.10.2019,84.0000
03.10.2019,82.6000
01.10.2019,86.2912
27.09.2019,86.5500
25.09.2019,84.2900
24.09.2019,85.8500
23.09.2019,86.0237
20.09.2019,87.4300
16.09.2019,88.9000
13.09.2019,90.3600
12.09.2019,88.3000
11.09.2019,88.5976
06.09.2019,84.7000
05.09.2019,83.4500
04.09.2019,82.2000
30.08.2019,83.9000
29.08.2019,82.2000
28.08.2019,80.8000
26.08.2019,82.0500
23.08.2019,81.5000
22.08.2019,82.4500
21.08.2019,83.4800
20.08.2019,80.8000
15.08.2019,79.4000
14.08.2019,80.5500
13.08.2019,82.2000
12.08.2019,81.6000
09.08.2019,81.9500
07.08.2019,82.7965
06.08.2019,82.1500
01.08.2019,85.3500
31.07.2019,86.3000
30.07.2019,85.8000
26.07.2019,88.0500
25.07.2019,88.3000
24.07.2019,86.3750
23.07.2019,86.7500
19.07.2019,85.6120
18.07.2019,85.4458
17.07.2019,87.7500
12.07.2019,86.6500
09.07.2019,86.8500
08.07.2019,87.5350
03.07.2019,91.0650
01.07.2019,91.9500
27.06.2019,89.3000
26.06.2019,89.9100
25.06.2019,89.1600
24.06.2019,89.3500
21.06.2019,88.9600
20.06.2019,88.8300
19.06.2019,86.9600
18.06.2019,86.5000
17.06.2019,84.8499
11.06.2019,84.1500
10.06.2019,83.5000
07.06.2019,82.6500
06.06.2019,80.6000
04.06.2019,80.5500
03.06.2019,80.0500
31.05.2019,79.4970
30.05.2019,80.0600
29.05.2019,80.0500
28.05.2019,82.0000
17.05.2019,81.4500
16.05.2019,81.3600
10.05.2019,80.6250
09.05.2019,79.7550
02.05.2019,83.2000
01.05.2019,84.7750
30.04.2019,85.0600
24.04.2019,85.6600
23.04.2019,85.1900
22.04.2019,86.3700
18.04.2019,86.6000
16.04.2019,84.0000
15.04.2019,83.5500
10.04.2019,82.5000
09.04.2019,82.0000
08.04.2019,81.3500
05.04.2019,82.2500
04.04.2019,81.5900
03.04.2019,81.7000
02.04.2019,79.6900
27.03.2019,77.6681
25.03.2019,76.8500
22.03.2019,76.0400
20.03.2019,80.5000
19.03.2019,79.8000
18.03.2019,79.3000
15.03.2019,79.9350
14.03.2019,78.6956
13.03.2019,78.2100
11.03.2019,77.0345
08.03.2019,75.6750
07.03.2019,78.0000
05.03.2019,78.0000
04.03.2019,78.6000
01.03.2019,78.4000
27.02.2019,77.1500
26.02.2019,78.1250
25.02.2019,77.8900
22.02.2019,78.8375
21.02.2019,79.2300
20.02.2019,79.1600
19.02.2019,76.3500
15.02.2019,77.0500
14.02.2019,75.4500
13.02.2019,71.6000
12.02.2019,71.4500
08.02.2019,70.6600
07.02.2019,72.1100
05.02.2019,72.1900
04.02.2019,70.9200
01.02.2019,72.0283
31.01.2019,71.6000
30.01.2019,71.0000
29.01.2019,70.7100
28.01.2019,69.7100
25.01.2019,69.8500
23.01.2019,67.5600
22.01.2019,68.6100
18.01.2019,68.2900
17.01.2019,66.9000
15.01.2019,66.7000
14.01.2019,67.5600
11.01.2019,67.1900
10.01.2019,68.0947
09.01.2019,69.0755
08.01.2019,69.2500
07.01.2019,68.5000
03.01.2019,66.6000
02.01.2019,67.3500
31.12.2018,67.8000
28.12.2018,67.2500
27.12.2018,67.3700
26.12.2018,65.4750
21.12.2018,65.7000
20.12.2018,66.8500
19.12.2018,68.3500
17.12.2018,68.3000
14.12.2018,68.6900
13.12.2018,70.9500
12.12.2018,71.3000
11.12.2018,69.9500
10.12.2018,69.7000
07.12.2018,69.7500
06.12.2018,69.8200
04.12.2018,72.6500
03.12.2018,74.9500
30.11.2018,73.2300
29.11.2018,73.5000
28.11.2018,73.1300
26.11.2018,71.6000
21.11.2018,71.9200
20.11.2018,71.4500
19.11.2018,72.2100
15.11.2018,73.0508
13.11.2018,71.6000
07.11.2018,74.4500
06.11.2018,73.0000
05.11.2018,73.8031
02.11.2018,74.4000
01.11.2018,72.4000
31.10.2018,72.5250
29.10.2018,70.0500
26.10.2018,69.6950
25.10.2018,70.1884
24.10.2018,67.0000
23.10.2018,68.5500
22.10.2018,68.8500
19.10.2018,68.8500
18.10.2018,70.5500
17.10.2018,72.9250
16.10.2018,72.6500
15.10.2018,71.8900
12.10.2018,72.1478
11.10.2018,72.2000
10.10.2018,72.4500
09.10.2018,74.3000
08.10.2018,74.9750
05.10.2018,75.8500
04.10.2018,77.8000
28.09.2018,80.1200
26.09.2018,81.1500
25.09.2018,81.2500
20.09.2018,82.3750
19.09.2018,80.3000
14.09.2018,79.3500
13.09.2018,79.6000
12.09.2018,79.7500
11.09.2018,77.5700
10.09.2018,76.2500
07.09.2018,74.2950
06.09.2018,78.8350
05.09.2018,78.3500
29.08.2018,83.1875
28.08.2018,83.8875
27.08.2018,82.9250
24.08.2018,80.3000
23.08.2018,80.1000
21.08.2018,79.3500
17.08.2018,77.2500
16.08.2018,76.5307
15.08.2018,75.5250
13.08.2018,77.5500
10.08.2018,77.3500
09.08.2018,79.9000
08.08.2018,80.1000
07.08.2018,80.0500
02.08.2018,77.6500
31.07.2018,80.1900
30.07.2018,80.1500
27.07.2018,81.0875
26.07.2018,79.7625
25.07.2018,82.1000
24.07.2018,83.0000
23.07.2018,81.0000
20.07.2018,81.8350
18.07.2018,83.8500
17.07.2018,81.9900
16.07.2018,82.4250
13.07.2018,81.3500
11.07.2018,81.5500
10.07.2018,83.3500
09.07.2018,83.1250
06.07.2018,81.7000
05.07.2018,80.8500
03.07.2018,82.4250
02.07.2018,81.7500
29.06.2018,83.5500
28.06.2018,80.6375
27.06.2018,83.1250
26.06.2018,81.7000
25.06.2018,82.2375
22.06.2018,83.2000
21.06.2018,82.6750
20.06.2018,83.7350
19.06.2018,84.5625
18.06.2018,86.4875
15.06.2018,86.7600
08.06.2018,86.4650
07.06.2018,87.9250
05.06.2018,86.5500
04.06.2018,88.8000
01.06.2018,88.9127
30.05.2018,85.9000
25.05.2018,89.3500
24.05.2018,89.9000
21.05.2018,91.4000
14.05.2018,90.2000
11.05.2018,90.5000
10.05.2018,90.7500
09.05.2018,88.9000
08.05.2018,89.1000
07.05.2018,89.1500
27.04.2018,90.3875
26.04.2018,90.0730
24.04.2018,92.0000
23.04.2018,92.6000
19.04.2018,91.8500
18.04.2018,90.1500
17.04.2018,88.1300
16.04.2018,86.6000
13.04.2018,86.9000
12.04.2018,86.7450
11.04.2018,86.5600
10.04.2018,86.9000
06.04.2018,84.5000
03.04.2018,85.6500
02.04.2018,86.6500
29.03.2018,88.6000
28.03.2018,86.1500
27.03.2018,86.5500
26.03.2018,85.9500
23.03.2018,85.1000
22.03.2018,85.4500
21.03.2018,88.5807
20.03.2018,88.5000
19.03.2018,88.1250
16.03.2018,88.2500
15.03.2018,88.4500
07.03.2018,86.9000
06.03.2018,87.1900
02.03.2018,84.9000
01.03.2018,86.5500
28.02.2018,87.7630
27.02.2018,87.4500
26.02.2018,88.4000
23.02.2018,88.2500
22.02.2018,89.0500
21.02.2018,88.5000
20.02.2018,89.9000
16.02.2018,89.9875
15.02.2018,90.3000
12.02.2018,85.9500
09.02.2018,83.9150
08.02.2018,85.1500
07.02.2018,88.0000
06.02.2018,88.7500
05.02.2018,89.2675
02.02.2018,89.9500
01.02.2018,92.9500
31.01.2018,93.6800
30.01.2018,93.2000
29.01.2018,93.9000
26.01.2018,93.8375
25.01.2018,93.1000
24.01.2018,94.4000
22.01.2018,92.4000
19.01.2018,92.1500
18.01.2018,92.3000
16.01.2018,91.4250
12.01.2018,90.3000
11.01.2018,88.9000
10.01.2018,88.7250
09.01.2018,89.1375
05.01.2018,87.6250
04.01.2018,87.3950
03.01.2018,84.9500
02.01.2018,84.5450
28.12.2017,85.8000
27.12.2017,85.9000
21.12.2017,85.4240
20.12.2017,84.8000
19.12.2017,84.6000
18.12.2017,85.0000
15.12.2017,83.6625
13.12.2017,83.5000
12.12.2017,83.8500
11.12.2017,83.6650
08.12.2017,83.6750
07.12.2017,84.2514
06.12.2017,82.6000
05.12.2017,84.3375
04.12.2017,84.5000
01.12.2017,84.9500
30.11.2017,85.8500
28.11.2017,84.7500
21.11.2017,83.1750
20.11.2017,83.5000
15.11.2017,83.1500
13.11.2017,82.6250
10.11.2017,83.2750
09.11.2017,83.2000
08.11.2017,85.3250
07.11.2017,85.5250
03.11.2017,86.5750
01.11.2017,87.9500
31.10.2017,88.1000
25.10.2017,86.7000
24.10.2017,86.0035
23.10.2017,85.4000
20.10.2017,86.6000
19.10.2017,86.2000
18.10.2017,86.6700
17.10.2017,86.0750
12.10.2017,87.2800
11.10.2017,87.6125
05.10.2017,86.3750
04.10.2017,87.2500
02.10.2017,86.4000
26.09.2017,84.9250
25.09.2017,85.5000
20.09.2017,86.8000
19.09.2017,86.4250
18.09.2017,85.8800
15.09.2017,85.2000
12.09.2017,85.8000
11.09.2017,85.0000
08.09.2017,83.9440
06.09.2017,82.8600
05.09.2017,82.0000
01.09.2017,81.8000
31.08.2017,80.4550
30.08.2017,79.5000
29.08.2017,80.0000
28.08.2017,80.0500
25.08.2017,80.5500
24.08.2017,79.8375
23.08.2017,79.7000
22.08.2017,79.8000
21.08.2017,78.9500
18.08.2017,78.9000
17.08.2017,79.3065
16.08.2017,80.0500
14.08.2017,79.6000
11.08.2017,78.4050
10.08.2017,78.9250
09.08.2017,79.5700
04.08.2017,81.1500
03.08.2017,80.4000
02.08.2017,80.4000
01.08.2017,78.9850
28.07.2017,80.0000
27.07.2017,79.9000
21.07.2017,76.7000
20.07.2017,78.9800
19.07.2017,79.1500
17.07.2017,78.1000
14.07.2017,78.5500
13.07.2017,78.9500
12.07.2017,78.9500
11.07.2017,77.8000
10.07.2017,76.9250
07.07.2017,76.5700
06.07.2017,76.1350
03.07.2017,77.2000
29.06.2017,77.0500
28.06.2017,78.8500
27.06.2017,78.3500
26.06.2017,78.2125
23.06.2017,79.0000
22.06.2017,78.3980
21.06.2017,76.5500
20.06.2017,77.0750
19.06.2017,77.5250
16.06.2017,75.0500
15.06.2017,74.9500
14.06.2017,75.5000
12.06.2017,76.3500
09.06.2017,77.3500
05.06.2017,76.8400
02.06.2017,78.2600
01.06.2017,77.8500
30.05.2017,77.1750
25.05.2017,77.0250
23.05.2017,77.4100
22.05.2017,76.4500
18.05.2017,75.8500
17.05.2017,75.0000
15.05.2017,77.5750
12.05.2017,76.9900
11.05.2017,77.0000
10.05.2017,77.1500
09.05.2017,77.0500
05.05.2017,80.5000
03.05.2017,78.7125
02.05.2017,79.0000
25.04.2017,80.5500
24.04.2017,80.0500
21.04.2017,75.8000
20.04.2017,75.6000
19.04.2017,72.8750
18.04.2017,72.6050
17.04.2017,73.0750
11.04.2017,72.3700
10.04.2017,73.2150
07.04.2017,73.2000
06.04.2017,73.6400
05.04.2017,73.2575
04.04.2017,72.8400
03.04.2017,72.6400
29.03.2017,72.7500
28.03.2017,72.2450
27.03.2017,72.3050
24.03.2017,72.5750
23.03.2017,72.1100
21.03.2017,72.2100
20.03.2017,72.5100
17.03.2017,71.9000
16.03.2017,71.5700
15.03.2017,69.9500
13.03.2017,69.8625
10.03.2017,69.3000
06.03.2017,68.6000
02.03.2017,68.6250
01.03.2017,68.4500
28.02.2017,67.8850
23.02.2017,68.8600
21.02.2017,69.1600
17.02.2017,69.2500
16.02.2017,70.4250
13.02.2017,72.5875
10.02.2017,71.8650
09.02.2017,72.2900
06.02.2017,71.6000
03.02.2017,72.9000
31.01.2017,72.3000
30.01.2017,72.3300
27.01.2017,73.3200
25.01.2017,74.2900
24.01.2017,73.4300
23.01.2017,71.5700
19.01.2017,71.4900
17.01.2017,71.8500
13.01.2017,72.0550
12.01.2017,71.3500
11.01.2017,70.4300
10.01.2017,70.5700
09.01.2017,69.8800
06.01.2017,70.1000
05.01.2017,70.0000
03.01.2017,67.8500
30.12.2016,69.6100
28.12.2016,68.4000
27.12.2016,68.2000
23.12.2016,68.2000
22.12.2016,68.0500
21.12.2016,68.1800
20.12.2016,67.8600
19.12.2016,67.9000
16.12.2016,68.1000
15.12.2016,67.8525
14.12.2016,68.8500
12.12.2016,68.6800
09.12.2016,68.5750
08.12.2016,68.5500
07.12.2016,68.9500
06.12.2016,68.5970
05.12.2016,68.4784
02.12.2016,66.3000
01.12.2016,66.0500
30.11.2016,66.0900
29.11.2016,66.0200
22.11.2016,65.4700
21.11.2016,66.4000
18.11.2016,65.4100
16.11.2016,65.9300
15.11.2016,68.1700
14.11.2016,68.3800
10.11.2016,69.4500
09.11.2016,67.2700
08.11.2016,66.6000
07.11.2016,66.9000
02.11.2016,66.4000
01.11.2016,66.2200
31.10.2016,66.9500
26.10.2016,67.9800
25.10.2016,67.5600
24.10.2016,68.5944
21.10.2016,68.0000
20.10.2016,68.5000
19.10.2016,68.6800
18.10.2016,68.4000
17.10.2016,68.3690
14.10.2016,68.2600
13.10.2016,66.7500
12.10.2016,67.6100
11.10.2016,69.1500
10.10.2016,69.7000
05.10.2016,69.1500
04.10.2016,68.8500
03.10.2016,69.0000
29.09.2016,69.0000
28.09.2016,69.7600
27.09.2016,69.8000
26.09.2016,69.8300
23.09.2016,70.4200
20.09.2016,66.9800
19.09.2016,67.6750
15.09.2016,66.5500
14.09.2016,66.3000
09.09.2016,66.2800
08.09.2016,68.2000
02.09.2016,70.0500
01.09.2016,68.7200
31.08.2016,68.1100
30.08.2016,69.0750
29.08.2016,68.3000
25.08.2016,68.9000
24.08.2016,69.3200
23.08.2016,69.0500
22.08.2016,68.3075
19.08.2016,68.3500
18.08.2016,68.6300
17.08.2016,67.4590
16.08.2016,67.6000
12.08.2016,68.3800
11.08.2016,68.4500
10.08.2016,67.6750
09.08.2016,66.6710
05.08.2016,64.8500
04.08.2016,64.3000
03.08.2016,64.5740
02.08.2016,65.2499
01.08.2016,64.7500
29.07.2016,64.8400
28.07.2016,64.6500
25.07.2016,62.1800
22.07.2016,61.3310
21.07.2016,61.4000
19.07.2016,60.2500
18.07.2016,61.2900
15.07.2016,60.8500
13.07.2016,60.4000
08.07.2016,57.0890
07.07.2016,56.0000
05.07.2016,56.7940
30.06.2016,58.4000
29.06.2016,57.0500
28.06.2016,55.7500
27.06.2016,54.1000
24.06.2016,58.2000
23.06.2016,66.1640
22.06.2016,64.8500
21.06.2016,64.4500
20.06.2016,63.9000
17.06.2016,62.2900
16.06.2016,59.9300
15.06.2016,60.7500
14.06.2016,58.6000
13.06.2016,61.0000
10.06.2016,61.9500
09.06.2016,63.0600
08.06.2016,64.1500
07.06.2016,64.2500
03.06.2016,64.1000
01.06.2016,64.1000
27.05.2016,64.4000
26.05.2016,64.4500
25.05.2016,64.3900
24.05.2016,64.1000
23.05.2016,62.4500
20.05.2016,62.5500
19.05.2016,61.7300
18.05.2016,63.1100
13.05.2016,61.3500
12.05.2016,61.6900
11.05.2016,62.5500
10.05.2016,62.1000
06.05.2016,61.8500
04.05.2016,63.3500
03.05.2016,64.4000
02.05.2016,64.9400
28.04.2016,65.8000
27.04.2016,66.2400
25.04.2016,65.6000
22.04.2016,66.3700
21.04.2016,66.3100
20.04.2016,63.5500
15.04.2016,63.6000
13.04.2016,62.6000
12.04.2016,60.9000
11.04.2016,61.2200
07.04.2016,58.8500
06.04.2016,59.7000
05.04.2016,58.9500
04.04.2016,61.6000
31.03.2016,62.7500
30.03.2016,63.8000
29.03.2016,60.6400
28.03.2016,59.5000
24.03.2016,59.4000
23.03.2016,61.1000
22.03.2016,62.0600
18.03.2016,63.5500
16.03.2016,62.0400
15.03.2016,60.7500
14.03.2016,61.8500
10.03.2016,59.3700
09.03.2016,61.7000
08.03.2016,61.5000
07.03.2016,61.9000
04.03.2016,61.2000
03.03.2016,60.3500
02.03.2016,59.1000
01.03.2016,59.3600
26.02.2016,59.0000
24.02.2016,56.8900
23.02.2016,58.6000
